Date,Volume,Open,Close,High,Low
5/19/22,1554511,187.4,193.72,196.82,186.28
5/20/22,2246121,196.21,191.41,197.97,185.58
5/23/22,3781199,182.95,183.51,184.88,173.9
5/24/22,2368295,181.48,179.55,182.93,176.43
5/25/22,1841764,180.12,186.53,187.66,178.6
5/26/22,2278042,187.38,191.63,193.56,185.42
5/27/22,2985286,204,211.38,211.85,201
5/31/22,3012779,209.69,207.75,210.03,204.06
6/1/22,1417784,210,207.38,212.79,205.79
6/2/22,1509854,207.22,214.09,214.24,206.73
6/3/22,1105402,210.08,208.37,210.85,206.31
6/6/22,835464,211.27,208.6,212.29,207.47
6/7/22,1249796,206.51,207.17,211.13,205.1
6/8/22,872935,206.32,203.73,207.59,203.35
6/9/22,975465,202.77,195.06,203.19,194.96
6/10/22,1722897,189.84,187.08,190.7,184.45
6/13/22,1914806,179.61,173.1,182.28,172.16
6/14/22,1591338,174.4,171.59,175.39,170.06
6/15/22,1911715,174.57,176.71,180.27,171.67
6/16/22,2104617,171.03,164.31,171.62,163.2
6/17/22,3324034,164.39,167.77,169.81,164.39
6/21/22,1465058,170.09,166.88,172.55,166.27
6/22/22,1705692,166.08,169.15,171.13,165.01
6/23/22,2636937,173.14,183.41,183.87,171.95
6/24/22,2814160,184.32,192.48,192.99,183.25
6/27/22,1814280,191.48,185.87,193.33,184.51
6/28/22,1561054,186.62,176.81,186.62,176.31
6/29/22,1305589,177.7,176.85,179.49,174.36
6/30/22,1707010,174.7,171.96,175.83,170.35
7/1/22,1203155,172.78,173.86,174.62,170.48
7/5/22,1833258,171.7,176.9,177.04,170.22
7/6/22,1027746,179.96,176.73,180.98,175.3
7/7/22,1091745,176.27,182.25,182.55,175.93
7/8/22,1197769,181.38,179.83,182.19,175.75
7/11/22,992782,177.84,176.72,179.45,174.07
7/12/22,1425826,177.43,172.33,181.36,171.8
7/13/22,1139128,167,170.95,171.68,166.94
7/14/22,1292532,170.76,170.96,171.9,167.21
7/15/22,1443776,174.36,176.21,177.11,172.6
7/18/22,2114109,178.34,177.22,179.5,175.61
7/19/22,1149876,180.85,184.76,185.06,178.95
7/20/22,1741736,186.31,196.38,197.07,185.53
7/21/22,1304645,196.2,199.1,199.85,195.32
7/22/22,1457698,199.19,195.95,203.55,194.48
7/25/22,1444982,194.76,195.71,196.06,192.54
7/26/22,1470666,196.34,193.07,196.92,192.17
7/27/22,1574274,196.58,203.41,204.67,194.88
7/28/22,1791873,203.3,212.16,212.62,203.22
7/29/22,1780190,211.89,216.32,217.65,211.21
8/1/22,1446952,212.01,218.14,218.34,211.88
8/2/22,1894059,214.36,216.18,217.87,213.29
8/3/22,1562486,216.64,218.44,220.35,215.99
8/4/22,1645437,218.76,221.94,222,216.16
8/5/22,1113414,216.46,221.7,223.12,216.14
8/8/22,811035,222.96,220.69,224.92,219.25
8/9/22,970164,218.79,218.14,219.19,215.12
8/10/22,1176918,225.15,226.32,227.58,224.11
8/11/22,1042773,228.34,227.26,232.28,226.33
8/12/22,957159,229.68,233.01,233.15,227.56
8/15/22,853167,232.38,234.04,234.96,231.92
8/16/22,892995,231.25,233.64,235.01,230.18
8/17/22,1028926,230.37,228.2,231.31,227.66
8/18/22,1043269,228.83,228.86,230.53,227.67
