Date,Volume,Open,Close,High,Low,CCI,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
12/12/24,998087,305.42,309.34,310.29,304.49,22.275269508266174,105.34999999999997,31.159999999999968,32.02000000000004,29.577598481252945,30.393925011865257,9.499949432083106,12.440957904981602
12/13/24,1131021,308.13,303.77,308.36,302.95,-15.45318071,104.88,26.70999999999998,33.56000000000006,25.467200610221187,31.99847444698709,11.307487841303141,9.627580521507896
12/16/24,1186216,303.93,304.89,307.14,302.37,-18.53970945,101.71999999999997,21.989999999999952,34.14000000000004,21.61816751867869,33.56272119543851,12.389068400881238,10.736513476784246
12/17/24,1781589,302.63,302.82,303.4,299.47,-50.75287527,102.68999999999994,21.989999999999952,34.89000000000004,21.413964358749602,33.976044405492324,13.203323954253838,11.751474241008939
12/18/24,1845067,303.71,292.83,304.07,291.47,-109.6512824,86.98,21.989999999999952,16,25.281673948034005,18.39503334099795,14.10009549,11.904693863065184
12/19/24,1381222,293.65,293.63,297.82,290.94,-121.4081541,90.26999999999987,21.989999999999952,15.910000000000025,24.36025258,17.624903068572117,14.81028983703031,12.543668907348899
12/20/24,4191162,290.7,298.12,299.74,288.54,-97.77729279,94.96999999999986,16.66999999999996,18.310000000000002,17.552911445719683,19.279772559755745,15.36482369,12.432386561020003
12/23/24,876162,297.99,297.49,298.45,294.36,-76.82318648,90.96999999999986,13.019999999999982,18.310000000000002,14.31241068484116,20.127514565241324,16.28469921621986,13.79609353
12/24/24,560019,297.55,301.23,301.23,296.68,-44.56225032,89.50999999999982,12.419999999999959,18.310000000000002,13.875544631884688,20.455814992738286,15.87149243815149,14.130280419516364
12/26/24,646806,299.43,300.28,301.73,299.43,-36.20719255,85.87999999999982,10.639999999999986,18.310000000000002,12.38938053097346,21.320447135538007,16.50726413823091,14.855294046242374
